SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-soc_ncol-U=7-AFM-221-stripe2-x,7,-115.95948409,4,-28.9898710225,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-221-stripe1-z,7,-115.96297754,4,-28.990744385,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-221-stripe3-x,7,-115.7575065,4,-28.939376625,16,168,1,1,0,0,4,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-221-stripe1-x,7,-115.95271749,4,-28.9881793725,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-221-stripe2-z,7,-115.98135529,4,-28.9953388225,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-112-z,7,-58.02274599,2,-29.011372995,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=7-FM-gen3gen31-z,7,-86.97899739,3,-28.99299913,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-gen3gen31-upupd,7,-86.82453937,3,-28.9415131233333,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=7-FM-221-z,7,-115.86908573,4,-28.9672714325,16,168,1,1,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=7-FM-112-x,7,-57.98126535,2,-28.990632675,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-112-x,7,-57.97908967,2,-28.989544835,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=7-FM-origin-z,7,-29.00470259,1,-29.00470259,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-221-stripe3-z,7,-115.97706595,4,-28.9942664875,16,168,1,1,0,0,4,12,CONVERGE
NaTmO2-soc_ncol-U=7-PM-origin,7,-27.17292967,1,-27.17292967,4,42,1,1,0,0,0,0,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-gen3gen31-120,7,-87.14215187,3,-29.0473839566667,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=7-FM-112-z,7,-57.10404974,2,-28.55202487,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=7-FM-gen3gen31-x,7,-86.9797691,3,-28.9932563666667,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=7-FM-origin-x,7,-28.989013,1,-28.989013,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=7-FM-221-x,7,-115.9582805,4,-28.989570125,16,168,1,1,12,12,12,12,CONVERGE
