SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_ncol-U=3-AFM-221-stripe2-x,3,-112.6445161,4,-28.161129025,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=3-AFM-221-stripe1-z,3,-112.46803739,4,-28.1170093475,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=3-AFM-221-stripe3-x,3,-112.05982068,4,-28.01495517,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=3-AFM-221-stripe1-x,3,-111.86249065,4,-27.9656226625,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=3-AFM-221-stripe2-z,3,-112.64281672,4,-28.16070418,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=3-AFM-112-z,3,-56.35005982,2,-28.17502991,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=3-FM-gen3gen31-z,3,-84.47884173,3,-28.15961391,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=3-AFM-gen3gen31-upu,3,-84.48442189,3,-28.1614739633333,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=3-FM-221-z,3,-112.65825063,4,-28.1645626575,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_ncol-U=3-FM-112-x,3,-56.31780332,2,-28.15890166,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=3-AFM-112-x,3,-55.72954276,2,-27.86477138,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=3-FM-origin-z,3,-28.17439025,1,-28.17439025,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=3-AFM-221-stripe3-z,3,-112.2747034,4,-28.06867585,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=3-PM-origin,3,-26.5633016,1,-26.5633016,4,42,1,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_ncol-U=3-AFM-gen3gen31-120,3,-84.4922063,3,-28.1640687666667,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=3-FM-112-z,3,-56.34986481,2,-28.174932405,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=3-FM-gen3gen31-x,3,-84.47908373,3,-28.1596945766667,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=3-FM-origin-x,3,-28.15844483,1,-28.15844483,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=3-FM-221-x,3,-112.63752623,4,-28.1593815575,16,168,1,0,12,12,12,12,CONVERGE
