SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_col-U=3-FM-origin,3,-27.57246886,1,-27.57246886,4,42,0,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_col-U=3-AFM-221-stripe3,3,-112.14812699,4,-28.0370317475,16,168,0,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_col-U=3-FM-221,3,-112.63626344,4,-28.15906586,16,168,0,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_col-U=3-AFM-221-stripe2,3,-112.64197095,4,-28.1604927375,16,168,0,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_col-U=3-FM-gen3gen31,3,-84.47782301,3,-28.1592743366667,12,126,0,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_col-U=3-AFM-gen3gen31-upup,3,-84.49858435,3,-28.1661947833333,12,126,0,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_col-U=3-PM-origin,3,-27.55596707,1,-27.55596707,4,42,0,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_col-U=3-AFM-221-stripe1,3,-112.64234337,4,-28.1605858425,16,168,0,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_col-U=3-AFM-112,3,-55.14541822,2,-27.57270911,8,84,0,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_col-U=3-FM-112,3,-55.14580313,2,-27.572901565,8,84,0,0,6,6,6,6,CONVERGE
