SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_ncol-U=5-AFM-221-stripe2-x,5,-112.77186863,4,-28.1929671575,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=5-AFM-221-stripe3-x,5,-111.87266245,4,-27.9681656125,16,168,1,0,0,0,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=5-AFM-221-stripe1-x,5,-112.76915385,4,-28.1922884625,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=5-FM-112-x,5,-56.37876678,2,-28.18938339,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=5-AFM-112-x,5,-56.38310333,2,-28.191551665,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=5-PM-origin,5,-26.45465752,1,-26.45465752,4,42,1,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_ncol-U=5-AFM-gen3gen31-120,5,-84.57974709,3,-28.19324903,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=5-FM-gen3gen31-x,5,-84.57030232,3,-28.1901007733333,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=5-FM-origin-x,5,-28.18894308,1,-28.18894308,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=5-FM-221-x,5,-112.77181723,4,-28.1929543075,16,168,1,0,12,12,12,12,CONVERGE
