SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_ncol-U=7-AFM-112-x,7,-56.58163773,2,-28.290818865,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-origin-z,7,-28.34818548,1,-28.34818548,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=7-PM-origin,7,-26.43631917,1,-26.43631917,4,42,1,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_ncol-U=7-AFM-gen3gen31-120,7,-85.07313698,3,-28.3577123266667,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-112-z,7,-56.42294622,2,-28.21147311,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-gen3gen31-x,7,-84.87611761,3,-28.2920392033333,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-origin-x,7,-28.29036,1,-28.29036,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=7-FM-221-x,7,-113.16731258,4,-28.291828145,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-221-stripe2-x,7,-115.95948409,4,-28.9898710225,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-221-stripe1-z,7,-115.96297754,4,-28.990744385,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-221-stripe1-x,7,-115.95271749,4,-28.9881793725,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-221-stripe2-z,7,-115.98135529,4,-28.9953388225,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-112-z,7,-58.02274599,2,-29.011372995,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=7-FM-gen3gen31-z,7,-86.97899739,3,-28.99299913,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-gen3gen31-upupd,7,-86.82453937,3,-28.9415131233333,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=7-FM-221-z,7,-115.86908573,4,-28.9672714325,16,168,1,1,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=7-FM-112-x,7,-57.98126535,2,-28.990632675,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-112-x,7,-57.97908967,2,-28.989544835,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=7-FM-origin-z,7,-29.00470259,1,-29.00470259,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=7-PM-origin,7,-27.17292967,1,-27.17292967,4,42,1,1,0,0,0,0,CONVERGE
NaTmO2-soc_ncol-U=7-AFM-gen3gen31-120,7,-87.14215187,3,-29.0473839566667,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=7-FM-112-z,7,-57.10404974,2,-28.55202487,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=7-FM-gen3gen31-x,7,-86.9797691,3,-28.9932563666667,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=7-FM-origin-x,7,-28.989013,1,-28.989013,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=7-FM-221-x,7,-115.9582805,4,-28.989570125,16,168,1,1,12,12,12,12,CONVERGE
NaTmO2-nosoc_col-U=0-FM-origin,0,-28.39479344,1,-28.39479344,4,42,0,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_col-U=0-FM-221,0,-113.5654773,4,-28.391369325,16,168,0,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_col-U=0-AFM-221-stripe2,0,-113.34188897,4,-28.3354722425,16,168,0,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_col-U=0-FM-gen3gen31,0,-85.17755736,3,-28.39251912,12,126,0,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_col-U=0-AFM-gen3gen31-upup,0,-84.97662999,3,-28.32554333,12,126,0,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_col-U=0-PM-origin,0,-27.81588665,1,-27.81588665,4,42,0,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_col-U=0-AFM-221-stripe1,0,-113.34258106,4,-28.335645265,16,168,0,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_col-U=0-AFM-112,0,-56.79039154,2,-28.39519577,8,84,0,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_col-U=0-FM-112,0,-56.7904729,2,-28.39523645,8,84,0,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe2-x,0,-113.34309815,4,-28.3357745375,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe1-z,0,-113.34378163,4,-28.3359454075,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe1-x,0,-113.34378503,4,-28.3359462575,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-221-stripe2-z,0,-113.34309814,4,-28.335774535,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-112-z,0,-56.79115258,2,-28.39557629,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-gen3gen31-z,0,-85.17864345,3,-28.39288115,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-gen3gen31-upu,0,-84.97739854,3,-28.3257995133333,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-221-z,0,-113.56688726,4,-28.391721815,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-112-x,0,-56.79122038,2,-28.39561019,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-112-x,0,-56.79113538,2,-28.39556769,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-origin-z,0,-28.39514613,1,-28.39514613,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=0-PM-origin,0,-27.81586991,1,-27.81586991,4,42,1,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_ncol-U=0-AFM-gen3gen31-120,0,-85.17865702,3,-28.3928856733333,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-112-z,0,-56.79122184,2,-28.39561092,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-gen3gen31-x,0,-85.17864344,3,-28.3928811466667,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-origin-x,0,-28.39514628,1,-28.39514628,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=0-FM-221-x,0,-113.56688626,4,-28.391721565,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-221-stripe2-x,0,-118.21210589,4,-29.5530264725,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-221-stripe1-z,0,-118.25246961,4,-29.5631174025,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-221-stripe1-x,0,-118.22680612,4,-29.55670153,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-221-stripe2-z,0,-118.25060739,4,-29.5626518475,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-112-z,0,-59.19044031,2,-29.595220155,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=0-FM-gen3gen31-z,0,-88.78800586,3,-29.5960019533333,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-gen3gen31-upupd,0,-88.74075484,3,-29.5802516133333,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=0-FM-221-z,0,-118.375677,4,-29.59391925,16,168,1,1,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=0-FM-112-x,0,-59.19553494,2,-29.59776747,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-112-x,0,-59.19566188,2,-29.59783094,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=0-FM-origin-z,0,-29.59470242,1,-29.59470242,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=0-PM-origin,0,-29.29082882,1,-29.29082882,4,42,1,1,0,0,0,0,CONVERGE
NaTmO2-soc_ncol-U=0-AFM-gen3gen31-120,0,-88.79653113,3,-29.59884371,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=0-FM-112-z,0,-59.19026832,2,-29.59513416,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=0-FM-gen3gen31-x,0,-88.79197041,3,-29.59732347,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=0-FM-origin-x,0,-29.5972844,1,-29.5972844,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=0-FM-221-x,0,-118.3745151,4,-29.593628775,16,168,1,1,12,12,12,12,CONVERGE
